,avg,cidade
0,,
commercial_gas_use,924926,Newton - MA
industrial_gas_use,1172164,Newton - MA
residential_gas_use,1982889,Newton - MA
commercial_electric_use,253981,Newton - MA
industrial_electric_use,181742,Newton - MA
residential_electric_use,245777,Newton - MA
commercial_gas_use,377879,Pleasanton - CA
industrial_gas_use,1340046,Pleasanton - CA
residential_gas_use,957609,Pleasanton - CA
commercial_electric_use,228670,Pleasanton - CA
industrial_electric_use,129504,Pleasanton - CA
residential_electric_use,265238,Pleasanton - CA
commercial_gas_use,377879,San Ramon - CA
industrial_gas_use,1340046,San Ramon - CA
residential_gas_use,957609,San Ramon - CA
commercial_electric_use,228670,San Ramon - CA
industrial_electric_use,129504,San Ramon - CA
residential_electric_use,265238,San Ramon - CA
commercial_gas_use,377879,Alhambra - CA
industrial_gas_use,1340046,Alhambra - CA
residential_gas_use,957609,Alhambra - CA
commercial_electric_use,228670,Alhambra - CA
industrial_electric_use,129504,Alhambra - CA
residential_electric_use,265238,Alhambra - CA
commercial_gas_use,1382236,Anaheim - CA
industrial_gas_use,4120042,Anaheim - CA
residential_gas_use,2827733,Anaheim - CA
commercial_electric_use,847864,Anaheim - CA
industrial_electric_use,589612,Anaheim - CA
residential_electric_use,893635,Anaheim - CA
commercial_gas_use,14516244,Anchorage - AK
industrial_gas_use,106670,Anchorage - AK
residential_gas_use,12494797,Anchorage - AK
commercial_electric_use,2121256,Anchorage - AK
industrial_electric_use,253656,Anchorage - AK
residential_electric_use,684402,Anchorage - AK
commercial_gas_use,924926,Ann Arbor - MI
industrial_gas_use,1172164,Ann Arbor - MI
residential_gas_use,1982889,Ann Arbor - MI
commercial_electric_use,253981,Ann Arbor - MI
industrial_electric_use,181742,Ann Arbor - MI
residential_electric_use,245777,Ann Arbor - MI
commercial_gas_use,991913,Appleton - WI
industrial_gas_use,1063292,Appleton - WI
residential_gas_use,1716997,Appleton - WI
commercial_electric_use,252041,Appleton - WI
industrial_electric_use,211960,Appleton - WI
residential_electric_use,227391,Appleton - WI
commercial_gas_use,704485,Asheville - NC
industrial_gas_use,820192,Asheville - NC
residential_gas_use,1334090,Asheville - NC
commercial_electric_use,320630,Asheville - NC
industrial_electric_use,181170,Asheville - NC
residential_electric_use,337670,Asheville - NC
commercial_gas_use,704485,Auburn - WA
industrial_gas_use,820192,Auburn - WA
residential_gas_use,1334090,Auburn - WA
commercial_electric_use,320630,Auburn - WA
industrial_electric_use,181170,Auburn - WA
residential_electric_use,337670,Auburn - WA
commercial_gas_use,3197861,Aurora - CO
industrial_gas_use,2435684,Aurora - CO
residential_gas_use,6482352,Aurora - CO
commercial_electric_use,857758,Aurora - CO
industrial_electric_use,531222,Aurora - CO
residential_electric_use,853235,Aurora - CO
commercial_gas_use,3197861,Aurora - IL
industrial_gas_use,2435684,Aurora - IL
residential_gas_use,6482352,Aurora - IL
commercial_electric_use,857758,Aurora - IL
industrial_electric_use,531222,Aurora - IL
residential_electric_use,853235,Aurora - IL
commercial_gas_use,6131349,Austin - TX
industrial_gas_use,23271668,Austin - TX
residential_gas_use,6222489,Austin - TX
commercial_electric_use,4858061,Austin - TX
industrial_electric_use,3372297,Austin - TX
residential_electric_use,5726433,Austin - TX
commercial_gas_use,342640,Avondale - AZ
industrial_gas_use,933645,Avondale - AZ
residential_gas_use,325898,Avondale - AZ
commercial_electric_use,341328,Avondale - AZ
industrial_electric_use,164524,Avondale - AZ
residential_electric_use,440751,Avondale - AZ
commercial_gas_use,704485,Beaverton - OR
industrial_gas_use,820192,Beaverton - OR
residential_gas_use,1334090,Beaverton - OR
commercial_electric_use,320630,Beaverton - OR
industrial_electric_use,181170,Beaverton - OR
residential_electric_use,337670,Beaverton - OR
commercial_gas_use,704485,Bellingham - WA
industrial_gas_use,820192,Bellingham - WA
residential_gas_use,1334090,Bellingham - WA
commercial_electric_use,320630,Bellingham - WA
industrial_electric_use,181170,Bellingham - WA
residential_electric_use,337670,Bellingham - WA
commercial_gas_use,924926,Bend - OR
industrial_gas_use,1172164,Bend - OR
residential_gas_use,1982889,Bend - OR
commercial_electric_use,253981,Bend - OR
industrial_electric_use,181742,Bend - OR
residential_electric_use,245777,Bend - OR
commercial_gas_use,377879,Berkeley - CA
industrial_gas_use,1340046,Berkeley - CA
residential_gas_use,957609,Berkeley - CA
commercial_electric_use,228670,Berkeley - CA
industrial_electric_use,129504,Berkeley - CA
residential_electric_use,265238,Berkeley - CA
commercial_gas_use,991913,Billings - MT
industrial_gas_use,1063292,Billings - MT
residential_gas_use,1716997,Billings - MT
commercial_electric_use,252041,Billings - MT
industrial_electric_use,211960,Billings - MT
residential_electric_use,227391,Billings - MT
commercial_gas_use,924926,Bloomington - IL
industrial_gas_use,1172164,Bloomington - IL
residential_gas_use,1982889,Bloomington - IL
commercial_electric_use,253981,Bloomington - IL
industrial_electric_use,181742,Bloomington - IL
residential_electric_use,245777,Bloomington - IL
